potatoes,картофель
marjoram,майоран
oregano,орегано
paprika,паприка
rosemary,розмарин
horseradish,хрен
mint,мята
sauce oyster,соус устричный
anise seed,семена аниса
milk,молоко
milk chocolate,молоко шоколадное
chocolate,шоколад
yoghurt,йогурт
milk condensed,молоко сгущенное
coffee,кофе
buttermilk,простокваша
ice cream,мороженое
cottage cheese,творог
blancmange,бланманже
mousse,мусс
mousse chocolate,мусс шоколадный
cream sour,сметана
milkshake,молочный коктейль
kefir,кефир
semolina,манная каша
jelly,желе
tiramisu,тирамису
stracciatella,страчателла
pudding,пудинг
hot chocolate,горячий шоколад
cream whipped,взбитые сливки
skyr,скир
yogurt greek,греческий йогурт
juice apple,яблочный сок
fruit juice,фруктовый сок
juice,сок
juice redcurrant,сок из красной смородины
juice grape,виноградный сок
juice orange,апельсиновый сок
tomato juice,томатный сок
tea,чай
water,вода
juice grapefruit,грейпфрутовый сок
juice pear,грушевый сок
juice pineapple,ананасовый сок
beer alcohol free,пиво безалкогольное
cola,кола
juice carrot,морковный сок
ice tea,холодный чай
mineral water,минеральная вода
sports drink,спортивный напиток
juice multi-fruit,мультифруктовый сок
smoothie,смузи
energy drink,энергетический напиток
coconut water,кокосовая вода
almonds,миндаль
cashew,кешью
hazelnuts,фундук
chestnuts,каштаны
peanuts,арахис
walnuts,грецкие орехи
sesame,кунжута
linseeds,семена льна
pecan,пекан
pistachio,фисташки
pine nuts,кедровые орехи
poppy,мака
chia seeds,семена чиа
chickpeas,нут
olivier salad,оливье
goulash,гуляш
pancakes,блинчики
ratatouille,рататуй
shashlik,шашлык
risotto,ризотто
carbonara,паста карбонара
soup,суп
bouillon,бульон
syrup,сироп
chocolate milk,молочный шоколад
chocolate,шоколад
chocolate dark,темный шоколад
chocolate butter,шоколадное масло
ginger,имбирь
honey,мед
jam,варенье
sweets,конфеты
toffees,ириски
marshmallows,зефир
liquorice,лакрица
marzipan,марципан
Turkish Delight,рахат-лукум
chocolate white,белый шоколад
nougat,нуга
meringue,безе
jam apple,яблочное варенье
muffin chocolate,маффин с шоколадом
muffin,маффин
lollipop,леденец
oil peanut,арахисовое масло
butter,масло
oil soy,соевое масло
lard,сало
oil sunflower seed,подсолнечное масло
oil olive,оливковое масло
margarine,маргарин
oil linseed,льняное масло
oil coconut,кокосовое масло
oil sesame,кунжутное масло
oil palm,пальмовое масло
mussels,мидии
eel,угорь
herring,сельдь
mackerel,скумбрия
crab,краб
lobster,лобстер
oysters,устрицы
sardines,сардины
codfish,треск
stockfish,вяленая рыба
salmon,лосось
plaice,камбала
fish fingers,рыбные палочки
white fish fillet,филе белой рыбы
caviar,икра чёрная
squash caviar,кабачковая икра
squid,кальмар
snails,улитки
squid rings,кольца кальмара
halibut,палтус
anchovy,анчоусы
tuna,тунец
sprats,шпроты
trout,форель
perch,окунь
roe,икра
surimi,сурими
sturgeon,осетр
prawns,креветки
horse meat,конина
mutton,баранина
duck,утка
chicken,курица
rabbit,кролик
pheasant,фазан
turkey,индейка
partridge,куропатка
venison,оленина
bacon,бекон
beef,говядина
cutlets,котлеты
pork,свинина
steak,стейк
hamburger,гамбургер
veal,телятина
mincemeat,фарш
tartare,тартар
fillet,филе
burger,бургер
shawarma,шаурма
rib eye steak,стейк рибай
cream,сливки
topping,топпинг
seitan,сейтан
pate,паштет
ham,ветчина
